Notes
enviromentally friendly
disgusting
consumption 
unnatural
laboratory
environmentallyfriendly
"weird, unnatural"
meatballs in a petridish

processed
meat
"unknow, health concerns"
artficial 
educated
weird
animalwelfare
processed/ unnatural
Laboratory
biohacking
"Artificial, GMO, hormones"
Sustitute
GMO
artificial 
nothing
future
GMO
laboratory
"Processed food, artificial"
nothing
laboratory
dangerous
produced in big quantities
why
artificial
biological
laboratory
biotechnology
meat

Oh cool
plant
cells grown in a laboratory
artificial
processed
artificial 
animalwelfare

Evolution

noanimalslaughter
soy
unsafe? unhealty?
unknown
sustainibility 
Better nutrition
artificial
Pork
petridish
Untasty
future
disgust
Kindtoanimals

cells mass in petridish
Irrational
fake

petridish 
Laboratory cultures of cells
nothing pretty
animalwelfare
unnatural 
processed
laboratory

Food
substitute
Artificial
"interesting , dangerous"
half artificial
"artificial, GMO"
"laboratory, animalwelfare"
maybe tasty
nutritional value?
Artificial
processed 
artificial 
different 
does not come from animals
"animalwelfare, environmentallyfriendly, laboratory"
healthy
hamburger
Not common. Hard to naturalize the concept. Sustainable in the long term thus good initiative as a transition to a more plant based diet
junk food
imposed by cultures
cultivated
healthy?
artificial farms
GMO
biotechnology

artificial
meat
unnatural

interesting
future
processed
cells
natural 
burger
fake
processed
GMO
disgust
bad
laboratory processed
weird
laboratory
laboratory
bad
cells cultures

disease

GMO

Artificial
"processed, unhealthy "
human manufactured
"unnatural, animalwelfare"
"Artificial, unknown "
cells cultures
quality
future
laboratory
Different
animalwelfare

GMO
agricultures


strange
atrificial 
laboratory processed
laboratory
artificial 
cells
cells cultures laboratory
change
Manipulated
Intestines
chemicals
artificial 
fish cultures
"ham, processed"
artificial
clonation
bad unnatural
laboratory
raw material
Untasty


sausages
Dolly the cloned sheep
Less animal consumption
Modified foods
beefs

advance
unknown 
GMO
animal farms
interesting
Mass produced


"solution, environmentallyfriendly, animalwelfare, taste"
disgusting
specific conditions

dead matter
Interesting
science
Artificial
artificial 
human intervention to nature
Progress
cells based assays
Science 
factories processed
animalwelfare
unknown
artificial
fake
junk food
laboratory
laboratory

solution
artificial 
artificial


laboratory
laboratory
GMO
processed
Bioethics.
expensive
Evolution
laboratory
 sustainable  harmless 
cells cultures
hormones
flower
substitute
artificial
artificial
Artificial
Evolution
Artificial
meat
Unpleasant
chemicals
expensive
Interesting
healthy steak
laboratory
unnatural 
tasteless
disturbance
"unhealthy, bad"
Hamburger
Artificial
Artificial
processed
bodybuilders 
manufactured

weird
meat
Lab

fake
black magic

vegetarian
disgusting
unnatural
different
unnatural
processed
weird
artificial
untasty
processed

"danger, environmentallyfriendly"
Antinatural
Experiment
interesting
artificial
interesting alternative
"fake, Bacteria"

GMO
bad
mutant
i'd try it
processed
science
research
scary
Artificial
laboratory
artificial
laboratory
processed
Ultraprocessed
artificial

canned food
unknown
mistrust
laboratory
progress
processed
appaling
deception

laboratory
Artificial
chemicals
substitute
petridish
"sustainability, animalwelfare"
It’s the future

laboratory
nothing
Falafel
stupidity
Artificial
Health consequences are not sufficiently researched yet
artificial
manufactured
innovation

GMO
laboratory
kindtoanimals laboratory
"Being eviromentallyfriendly and respect  kindtoanimals, animalwelfare"

Patties from beans and corn
animalwelfare
unecessary
unhealthy

petridish
Orcs
Rats
negative

farms
unnatural
meat
processed
vegan
science
disgusting
3d Printers
Artificial unnatural

artificial food
unnatural
unnatural
laboratory
technology
processed
3d printing
untasy

unhealthy
expensive
Meatwithamonocle
fake
junk food

artificial
artificial
laboratory animalproteins
clonation 
scary
vegan stupidity 
future
unnatural
biology laboratory
Placa petri
artificial
unknown
bred
unnatural
untasty
chemicals Artificial

conservatives
incredible
GMO
noanimalslaughter
artificial
disgusting
disgusting
scifi
laboratory
artificial
no 
noanimalslaughter
innovation
fake

nothing

unknown
Artificial
unnatural
laboratory
interesting
interesting
science
nothing
nothing
artificial
"noanimalslaughter,  kindtoanimals"
processed
laboratory
cells cultures
artificial
artificial
"noanimalslaughter, environmentallyfriendly "
disgusting

fake
nothing
artificial
processed
weird
artificial laboratory
laboratory rats
unhealthy
cells cultures

"unnatural, unhealthy"
"Junk food, not unnatural or nutritive"
chemicals
No
Vegan food
vegan
laboratory
animalsacrifice under cover 
"environmentallyfriendly , expensive"
Artificial
could work
manufactured
Lacking texture

artificial
"noanimalslaughter, animalwelfare"

processed
plant based
artificial fertilization
"vegetarian choice, alternative"

chemicals
noanimalslaughter
disgusting 

untasty
plant based


unknown
Is it healthy ?
technology
"bad, artificial"
"artificial, unnatural"
processed
"processed, unnatural, unhealthy"
Laboratory

artificial
Animals in laboratory
Laboratory
no confidence 
unhealthy

unknown
chemicals
laboratory protein
artificial 
Artificial
fake
unknown
nomeat
meatwithadegree

processed
"Artificial,  unhealthy"
GMO
experiment

laboratory
"processed, unnatural, unhealthy chemicals"
laboratory
Vegan
no
Mutant
artificial
untasty
laboratory
a raw meatmass
GMO

artificial
artificial

artificial
freerangemeat
Breaking bad making fake 
interesting
artificial
laboratory
laboratory
Artificial
nothing
chemicals processed food to cover the need of the market
unnatural
Artificial
unknown
Artificial
processed
Artificial
animalexplotation 
unhealthy 
"processed, chemicalss"
Artificial
food
Antinatural
Artificial
Vegan
unnatural
fake
GMO
junk food
bredmeat

Artificial
Artificial
processed
weird 

weird
processed
revolutionary environmentallyfriendly 

unnatural
disgusting 
laboratory
Some experiments I heard of in the news
animalwelfare
no
artificial
good alternative

Artificial
smart
Artificial

biologicalmeat

substitute
artificial
laboratory
Unhealthy
Plastic

"processed food, no nutrients"
chemicals
Sustainable 
animalproduction in laboratory
GMO
very expensive
i'd try it
"artificial, synthetic"
harvest
sad
artificial
differently processed
meat
healthier
substitute
try
"artificial, synthetic"
bad

Avance
Unnatural
future
laboratory
artificial
"Salami, ham, processed"

unemployed farmers
interesting
tasteless
animalproduction  consumption
chemicals

scifi
no food
nothing
fake food
conservatives
artificial
meatmass laboratory
laboratory produce

"meatthatgrows, soy"
"unhealthy, processed"
human interference
Artificial
mass breeding

unhealthy
"Not natural, fake, chemicals"
tasteless
artficial
Laboratory
artificial
weird 
toxic


vegan
human interference
similar
harmful
Frankenstein
laboratory
chemicals
disgusting

weird

interesting
scary
laboratory
unnatural
Nuggets
Sintetic
chicken

disgusting
fake
laboratory
GMO
Organised production

nothing
unnatural
 artificial
unnatural
"Plastic, artificial"
i would not eat
healthy

Artificial
unnatural
in the lab
processed
"processed, production factory, fed with bulking factors to develop faster"

Disgusting
noanimalslaughter or suffering
sustainability
Disgusting
unnatural
animalwelfare


laboratory
conservatives
unknown
laboratory
cool
artificial
Processed 
artificial
untasty
nothing
artificial
artificial
processed


cells

unhealthy food

fast food
gelatine
processed
processed
industrialized expensive
sausage

expensive
processed. unnatural
unecessary
processed
nothing
"laboratory, processed"
GMO
cloning


GMO
labaratory
animalwelfare
Experiments
cells cultures
lowquality
"modified, artificial"

scary and disgusting
Artificial

artificial
nothing

disgusting
unhealthy
strange
"artificial , lownutritionalvalue"
ignorance
horror
That I won't taste the same
cannedmeat 

processed
future
artificial
GMO

smart
no
artificial
GMO
disgusting
unknown
animalwelfare
Artificial
former alive organism
fecundation

nothing

fake
interesting
untasty
nothing

revolution
"synthetic production, artificial"
environmentallyfriendly 
artificial
unnatural
Xy
artificial
substitute
Artificial
Test tube

it could be
innovation

tube
chemicals
human creation
laboratory

artificial
unnatural
laboratory
disgusting
laboratory
plastic

laboratory

processed

ok
I don't like it
junk food
science/chemicals
"safe/unsafe, healthy/unhealthy"
unhealthy

no
artificial
laboratory
unknown
chicken
laboratory
Cloning

chemicals
artificial
not useful

breeding in controled conditions

artificial
laboratory
scary
"Utopia 2020 syntetic, future, scifi"
artificial
mutant
unnormal
No way 
artificial
untasty
artificial
"Quality conditions, processed"
future
junk food
unknown

disgusting

unknown
not nice
Artificial
Rat
weird
healthy
laboratory
"cells cultures, manipulation of cells, laboratory"
Super
ok
Different
fake
breedingmeat
chemicals
artificial
Experiments
chemicals
unnatural artificial
bad taste
sterilised laboratory
processed
laboratory
GMO
chemicals

disgusting
soy
processed
Investigation
unnatural
Artificial
industrial
weird
 enironmentallyfriendly
Artificial
unnatural
interesting and unusual

laboratory
weird
chemicals
Artificial
unknown
chemicals
science experiment
artificial
processed
artificial insamination
laboratory
animalwelfare
cultures
progress
laboratory
artificial
biological
artificial
biological
artificial
different
Artificial
artificial
GMO
artificial

fake
interesting
disease

unnatural
sustainable
disgusting
breding
unnatural
unhealthy
"global problem, science, solution, food substance"

plastic

Biology lab
artificial
"price, cost"
artificial
unsure about the technology unsure
something new
disgusting
processed
artificial
Laboratory
Not necessary

animalwelfare
processed

"snacks with meatflavor, artificial"
experimentswithanimals 
chemicals
Something tasteless that can be used in space exploration
disgusting
chemicals
manufacturedmeat
substitute

processed
Organic
no
fake

Artificial
GMO

try it
unhealthy
better 

chemicals
rottenmeat
bad quality

horror
future
human intervention
GMO
artificial
poison
unknown
healthy
never heard
Artificial
fake hamburger
nothing
unnatural
disgusting

unnatural


cloning
healthy
cells
scary
experiment
soy
unnatural
GMO
GMO
"less animalproduction, animalwelfare"
i like it 
transgenic
unnatural
unknown
digusting
laboratory
interesting
arificial
unnatural
scifi
mutant

GMO 
artificial
artificial
laboratory
Artificially produced
Hamburger


unknown
nothing
"modified, modicication"
artificial
unnatural
Artificial

unhealthy

artificial 
poison

Product artificial
untasty
science
nothing
Revolutionary
good
dangerous  unhealthy
chemicals

"plastic, fake"
unhealthy
artificial
nothing
artificial
Toxins
scifi 

"genetic experiment, scary"
wonder
animalswithoutheads
plant
artificial

GMO




GMO
artificial
"Vegan, veganism"
GMO
health
chicken
nothing
tasty?

laboratory
artificial
excited price
trash

fake
digusting

laboratory processed
Would not eat
mutant
goodquality
unknown
unhealthy
laboratory
unsure
animalwelfare
nothing 
nothing
Experiment
atrificial
Fake
Experiment
"GMO, science"

i am sceptic
disgusting
artificial
artificial
artificial
artificial
laboratory
"irregular, scifi"

laboratory
side effects for humas

"untasty, hard, unknown origin, unknow human side effects"
"animaltissue, noanimalslaughter"
mutant
Antinatural
unknown unsafe
GMO
GMO
GMO
no
Robots
no
business
hormones

artificial
chemicals
artificial
genetic
laboratory hamburgers

artificial
processed like sausages
petridish
labaratory
disgusting
nothing
Beyondmeat
breeding
artificial
GMO
chemicals

food
first studies
GMO
laboratory
nothing
unknown

disgusting
artificial 
Noanimalslaughter
GMO
laboratory
artificial 
New and strange
artificial 
unknown

artificial
artificial
artificial dangerous

sophisticated
Artificial
chemicals
mutant
big pharma
bacteria

unnatural
GMO
artificial

tasty
artificial 
chemicals
laboratory
"higher quality, free range"
Unnatural
Artificial
artificial 
beef

chemicals
unnatural
unhealthy
chemicals
clean 

artificial
laboratory
nothing

future

Artificial
GMO
chemicals
weird

Transgenic. Cancer

soy
GMO

unknown
unnatural
laboratory
artificial
laboratory

artificial
industrial product
questionable 

Zombies
unnatural
"processed, ultraprocessed"
i do not like it
healthier
unnatural

disgusting
disgusting
artificial food
no
disgusting
genetics
disgusting
sophisticated in tastemeat

indifferent
disgusting
meat 
profit for companies
Antibiotics
untasty
experiment
artificial
atrificial 
cloning

artificial
progress
nothing
disgusting
dangerous
healthy breding
"unhealthy, full of conservatives, harmful "
cloned
no
unnatural
controlled production 
laboratory

chemicals

fear
unknown
artificial
soy
artificial
artificial
artificial
healthy
laboratories
chemicals
unknown
processed
artificial unnatural
canned food
unknown

horrible
meat

artificial process
artificial process
unnatural
processed
artificial process


GMO
artificial
nonsence

healthy diet
artificial
GMO
curiosity
wrong
Weird

unknown
no
artificial

chemicals
GMO
artificial
artificial
unnatural.
GMO
unnatural.
3d printers
artificial
food

health
toughness
pills
artificial
unusual 


chemicals

disgusting
unnatural
"Salami, ham, processed"

processed

repulsive
processed
tasty
scifi
Artificial
artificial

cloning
Plastic

untasty
unhealthy
technology
artificial

manufactured

GMO
laboratory
Industrialised
taste
great
unhealthy
cloning
chemicals
unnatural
artificial
unhealthy
shapeless mass

meat
untasty
artificial

artificial
unnatural

overexplotation
disgusting
unnatural
fake
processed
"interesting,"

sustainability
manipulation
chemicals
fake
chemicals
"unnatural, unhealthy"
3d printers
health
disgusting
Unnatural
industry
chemicals
unnatural
disease
soy
artificial
mutation

untasty
weird
disgusting
nothing
scary
novel
ear
raw

weird
artificial
chemicals process
unknown
Artificial

unnatural
unnatural
wrong
plastic
weird
interesting
GMO
weird
nothing
Farm
I disagree
GMO
hormones
i do not want to eat



doubt
disgusting
disgusting
"synthetic, artificial"
curiosity
technology
ok
unnatural


animalwelfare
chemicals
artificial
unimportant

GMO
artificial
fake


chemicals
processed
artificial
Nothing
experience

test tube
production of bacteria in glass 
animalwelfare

interesting news
mutant
disgusting
natural
Artificial
mutant
science
disgusting
Artificial
disgusting
Artificial
nice
healthy
soy

unimportant
unnatural
Animaltorture
GMO
Economy
artificial
disgusting
nothing
unnatural
monster
Vegetarian

Cloning
artificial
never try
unnatural


Horrible
unnatural
Laboratory
processed
artificial
Plastic
unhealthy
GMO
disgusting
untasty
unknown

laboratory
laboratory 
imitation
plastic
industrial
Artificial
Increíble
artificial
Hamburger
laboratory
unknown
technology
laboratory
unnatural

disgusting
fear
unknown
unnatural
GMO
unknown 
unknown

Artificial
plastic
unknown
Artificial
Artificial
violence
artificial
animalwelfare
no
artificial
unhealthy
plastic
artificial
weird 

"Restrictedanimals with inability to move
"
artificial
"laboratory, processed"
standardised
technology
disgusting
mutant
 want to try it 
unnatural
laboratory
fake
manufactured
artificial

Unnatural

health
Experiment
laboratory
Advance
artificial
digusting
substitute
digusting
Curiosity
unnatural product
"conservatives, unhealthy"


Unnatural
unhealthy
GMO

fake
unnatural
GMO
fear
unknown
dolly sheep
unhealthy
mutation

unnatural
unnatural

disgusting



"unnatural, disgusting"
made in laboratory
"unnatural,"
unknown
evolution
artificial
unhealthy
bad
laboratory

neutral
mutation

manipulated  laboratory 
unnatural
weird
substitute
artificial

chemicals
untrustworthy
healthy
danger
mutant
chemicals
dislike

pig in epruvete
unacceptable
mutant
"human interference, unnatural"
plastic

unhealthy
unnatural
mutant
plant based
protein increase without animalproduction
mutant


artificial 
plastic
chemicals

disgusting
Manipulacion
artificial
unnatural
future

chemicals
trash
i wont try it
dislike



unnatural
incredible
disgusting 
disgusting 
disgusting
rotten 
I wont eat it
meet is murder
mutant
artificial plastic
fungus


unnatural
industrial product
 cheese
fear

disgusting
dislike
Cloning
taste
future food sustainable 
laboratory
unhealthy 
weird
mutation
fake
"synthetic, artificial"

Artificial
Synthetic
Mutant
unknown

fillet
Nothing
medicine
cultured vegetables

Poison
uncertain
bad
unknown
Nothing
disgusting
Nothing
weird

unnatural
GMO


disgusting

Artificial

Artificial
technology
Fillet
unhealthy

artificial
treated
rejection

rejection
environmentallyfriendly

disgusting

nothing
weird





















































































































































































































































































































"When you think of culturesd meat, what first comes to your mind?"
